DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMA MEDIO,FECHA HECHO,GENERO,AGRUPA EDAD,CANTIDAD
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
TOLIMA,PLANADAS,73555000,ARMA DE FUEGO,1/5/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,CONTUNDENTES,1/5/2019,MASCULINO,ADULTOS,1
TOLIMA,LÉRIDA,73408000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,FEMENINO,ADULTOS,1
ANTIOQUIA,AMALFI,05031000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
NARIÑO,RICAURTE,52612000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
NARIÑO,RICAURTE,52612000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
TOLIMA,CAJAMARCA,73124000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
SANTANDER,SABANA DE TORRES,68655000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
CAQUETÁ,SOLITA,18785000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,FACATATIVÁ,25269000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
BOLÍVAR,CARTAGENA (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
CALDAS,LA DORADA,17380000,ARMA BLANCA / CORTOPUNZANTE,1/6/2019,MASCULINO,ADULTOS,1
NARIÑO,FRANCISCO PIZARRO,52520000,ARMA DE FUEGO,1/6/2019,FEMENINO,ADULTOS,1
CÓRDOBA,MONTELÍBANO,23466000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,OCAÑA,54498000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
VALLE,PALMIRA,76520000,ARMA DE FUEGO,1/6/2019,MASCULINO,ADULTOS,1
